order_id,sku_id,product_name,final_ak_price,units_sold,quantity,customer_id,placed_gmv,Order_Date
119566,60d17870c5,Glow & Lovely Instant Glow With Brightening Multivitamin Facewash 50g,56.45,6,1,99710,338.7,2022-05-05 11:47:05
119566,622854da66,Navratna Extra Thanda Ayurvedic Hair Oil 2.5ml,0.69,240,2,99710,331.2,2022-05-05 11:47:05
119566,61d439f99a,Dabur Amla Hair Oil 30ml,8.28,20,1,99710,165.6,2022-05-05 11:47:05
119566,60dec56d3e,Garnier Bright Complete Vitamin C Face Wash 50g,61.34,6,1,99710,368.04,2022-05-05 11:47:05
119566,61021fdb38,Patanjali's Saundarya Aloe Vera Gel 60ml,38.52,12,2,99710,924.48,2022-05-05 11:47:05
119566,6107de458b,Oxylife Natural Radiance 5 Creme Bleach With Active Oxygen 9g,35.79,12,1,99710,429.48,2022-05-05 11:47:05
153410,619f2e47e1,Clinic Plus Strong & Long Sachet 960X6ml,712,1,1,125893,712,2022-06-09 23:32:07
153410,603ce30bf5,Fogg Extreme Fragrance Body Spray 150ml,125,24,2,125893,6000,2022-06-09 23:32:07
148598,61c70ff0ab,Harpic Disinfectant Toilet Cleaner 1L,168.22,18,3,20117,9083.88,2022-06-03 16:06:39
148598,6215fc20b7,Harpic Toilet Cleaner 250ml,44.41,18,2,20117,1598.76,2022-06-03 16:06:39
148598,5f6fa5ae46,Lizol All In 1 Disinfectant Surface & Floor Cleaner Floral 2L,340,6,1,20117,2040,2022-06-03 00:00:00
155415,6256715e22,Dettol Intense Cool Soap Bar 125g Buy 4 Get 1 Free,247,18,2,20117,8892,2022-06-12 00:00:00
155415,616da3bfa2,Brooke Bond Red Label Nature Care Tea 500g,261.36,18,1,20117,4704.48,2022-06-12 00:00:00
155415,b14001f1c9,Bajaj Almond Drops Non Sticky Hair Oil 650ml,335,9,2,20117,6030,2022-06-12 00:00:00
141893,5fd1eed981,Closeup Everfresh+ Red Hot Gel Toothpaste 48g,16.3,48,1,102961,782.4,2022-05-26 00:00:00
143216,60c494c227,Parle Hide and Seek Biscuit Chocolate Chip Cookies 100g,24.14,12,1,100298,289.68,2022-05-28 00:00:00
143216,24b0ea0dbc,Unibic Cookies Choco Ripple Cookies 55g,8.6,48,1,100298,412.8,2022-05-28 00:00:00
143216,61fcd069a7,Dabur Amla Hair Oil 45ml + 25ml Free,17.08,18,1,100298,307.44,2022-05-28 00:00:00
143216,60d579ebc0,Dabur Amla Hair Oil 90ml + 20ml,41.08,12,1,100298,492.96,2022-05-28 00:00:00
143216,62220eba4b,Pears Pure And Gentle Soap Bar 60g,24.18,36,1,100298,870.48,2022-05-28 00:00:00
143216,61fbef02b7,Glow & Lovely Facewash 12U + 1U Free x 20g,19.61,24,1,100298,470.64,2022-05-28 00:00:00
163153,60b8f18000,Sanifresh Ultrashine Toilet Cleaner 2U*500ml + Free Odonil Freshner 50g,117,18,2,107301,4212,2022-06-22 00:00:00
127665,61dc3acfcb,Gooddot Noodles 70g,16.25,96,2,106163,3120,2022-05-09 00:00:00
141361,6177890d90,Surf Excel Easy Wash Detergent Powder 80g,8.66,24,1,96595,207.84,2022-05-26 00:00:00
141361,615706e23e,Dabur Red Paste 18g,8.51,12,1,96595,102.12,2022-05-26 00:00:00
141361,61b3476d0e,Colgate Super Flexi Charcoal Toothbrush 10U + 2U Free,15.2,20,1,96595,304,2022-05-26 00:00:00
141361,60d17870c5,Glow & Lovely Instant Glow With Brightening Multivitamin Facewash 50g,56.45,6,1,96595,338.7,2022-05-26 00:00:00
141361,642180101c,Prabhuji Khatta Mitha 36g,8,50,1,96595,400,2022-05-26 00:00:00
141361,15b08f6d2f,Prabhuji Punjabi Tadka 36g,8,50,1,96595,400,2022-05-26 00:00:00
141361,1b0edfcb1f,Unibic Cookies Cashew Badam 60g,8.6,48,1,96595,412.8,2022-05-26 00:00:00
141361,6173ce3b30,Head & Shoulders Anti Dandruff Hairfall Shampoo 72ml,57.75,6,1,96595,346.5,2022-05-26 00:00:00
140032,6177890d90,Surf Excel Easy Wash Detergent Powder 80g,8.59,60,2,112273,1030.8,2022-05-24 00:00:00
140032,5fad9e2e58,Dettol Original Bathing Soap 40g,8.9,300,1,112273,2670,2022-05-24 00:00:00
140032,6039f87cae,Patanjali Dant Kanti Dental Cream 20g 12U + 1U Free,8.21,36,1,112273,295.56,2022-05-24 00:00:00
140032,626d01b3d1,Axe Signature Gold Temptation Ticket Body Deodorant 17ml,50.73,6,1,112273,304.38,2022-05-24 00:00:00
140032,622497ab6c,"Whisper Choice Ultra Sanitary Pads - With Disposal Bags , XL, 6 Pads",37.08,6,1,112273,222.48,2022-05-24 00:00:00
140032,6177ebbc90,Too Yumm Karare Chilli Achari 75g,17,18,1,112273,306,2022-05-24 00:00:00
140032,5f7ffea19f,Parle 2 in 1 Eclairs Toffee 198g,36,12,1,112273,432,2022-05-24 00:00:00
140032,5f84535c89,Parle Mazelo Assorted Toffee 198g,36,12,1,112273,432,2022-05-24 00:00:00
129859,6163E1F4FE,Quaker Oats 400g,64.26,24,1,38673,1542.24,2022-05-11 00:00:00
